Rank,Title,RatingTomatometer,Genres
17,tower,99,documentary
18,weiner,96,documentary
19,inside job,98,documentary
20,the missing picture,99,documentary
21,deliver us from evil,100,documentary
22,seymour: an introduction,100,documentary
23,rbg,95,documentary
24,anvil! the story of anvil,98,documentary
25,jiro dreams of sushi,99,documentary
26,bright lights: starring carrie fisher and debbie reynolds,100,documentary
27,the square,100,documentary
28,waste land,100,documentary
29,hoop dreams,98,documentary
30,"mr. death: the rise and fall of fred a. leuchter, jr.",100,documentary
31,strong island,100,documentary
32,afghan star,100,documentary
33,capturing the friedmans,97,documentary
34,waltz with bashir,96,documentary
35,iris,98,documentary
36,the overnighters,99,documentary
37,jodorowsky's dune,97,documentary
38,the interrupters,99,documentary
39,how to survive a plague,99,documentary
40,march of the penguins,95,documentary
41,56 up,99,documentary
42,last train home,100,documentary
43,the invisible war,99,documentary
44,kurt cobain: montage of heck,98,documentary
45,project nim,97,documentary
46,spellbound,97,documentary
47,everyday sunshine: the story of fishbone,100,documentary
48,nostalgia for the light,100,documentary
49,we were here,100,documentary
50,enron: the smartest guys in the room,97,documentary
51,bill cunningham new york,99,documentary
52,the look of silence,96,documentary
53,rivers and tides: andy goldsworthy working with time,99,documentary
54,when we were kings,98,documentary
55,the act of killing,95,documentary
56,13th,97,documentary
57,this is not a film,97,documentary
58,elaine stritch: shoot me,98,documentary
59,hitchcock/truffaut,96,documentary
60,the king of kong: a fistful of quarters,97,documentary
61,the fog of war: eleven lessons from the life of robert s. mcnamara,96,documentary
62,bowling for columbine,95,documentary
63,the imposter,96,documentary
64,the war tapes,98,documentary
65,cave of forgotten dreams,96,documentary
66,west of memphis,96,documentary
67,the beatles: eight days a week - the touring years,96,documentary
68,ai weiwei: never sorry,97,documentary
69,beware of mr. baker,98,documentary
70,jafar panahi's taxi,96,documentary
71,marwencol,98,documentary
72,undefeated,96,documentary
73,sicko,92,documentary
74,finders keepers,98,documentary
75,mea maxima culpa: silence in the house of god,98,documentary
76,blindsight,98,documentary
77,sound city,98,documentary
78,the devil came on horseback,98,documentary
79,call me kuchu,98,documentary
80,the island president,98,documentary
81,for the bible tells me so,98,documentary
82,welcome to leith,98,documentary
83,keep on keepin' on,98,documentary
84,let the fire burn,98,documentary
85,restrepo,96,documentary
86,the life and times of hank greenberg,97,documentary
87,born to be wild,98,documentary
88,surfwise,98,documentary
89,"lo and behold, reveries of the connected world",94,documentary
90,bus 174,97,documentary
91,stories we tell,94,documentary
92,wordplay,95,documentary
93,control room,96,documentary
94,burma vj: reporter i et lukket land,97,documentary
95,no end in sight,96,documentary
96,49 up,97,documentary
97,the cove,95,documentary
98,winged migration,95,documentary
99,muscle shoals,96,documentary
100,the queen of versailles,95,documentary
1,black panther,97,drama
2,lady bird,99,drama
3,citizen kane,100,drama
4,blackkklansman,95,drama
5,moonlight,98,drama
6,wonder woman,93,drama
7,all about eve,100,drama
8,metropolis,99,drama
9,a quiet place,95,drama
10,spotlight,97,drama
11,dunkirk,92,drama
12,selma,99,drama
13,casablanca,97,drama
14,la grande illusion,97,drama
15,the godfather,98,drama
16,call me by your name,95,drama
17,arrival,94,drama
18,leave no trace,100,drama
19,star wars: the last jedi,91,drama
20,logan,93,drama
21,the shape of water,92,drama
22,boyhood,97,drama
23,the maltese falcon,100,drama
24,gravity,96,drama
25,12 years a slave,95,drama
26,argo,96,drama
27,repulsion,100,drama
28,sunset boulevard,98,drama
29,thor: ragnarok,92,drama
30,rear window,100,drama
