title,user_score,usa_gross
tretya meshchanskaya,74.0,
twelve miles out,52.0,$ 449700
two arabian knights,67.0,$ 509718
un chapeau de paille d'italie,68.0,
uncle tom's cabin,67.0,
underworld,76.0,$ 1642194
the unknown,78.0,
upstream,62.0,
when a man loves,68.0,$ 885699
wings,75.0,
winners of the wilderness,31.0,
"die frau, nach der man sich sehnt",67.0,
xi xiang ji,63.0,
abwege,70.0,
across to singapore,60.0,
the battle of the sexes,65.0,
beggars of life,75.0,
bringing up father,49.0,
die büchse der pandora,79.0,$ 53485
the cameraman,81.0,
the cardboard lover,62.0,
champagne,56.0,
la chute de la maison usher,73.0,
the circus,81.0,
the cossacks,65.0,
les deux timides,68.0,
the divine woman,67.0,
the docks of new york,75.0,
dom na trubnoy,73.0,
eliso,69.0,
the farmer's wife,59.0,
fazil,59.0,
feel my pulse,70.0,
4 devils,63.0,
the four feathers,69.0,
four sons,71.0,
four walls,39.0,
the garden of eden,68.0,
geschlecht in fesseln,67.0,
a girl in every port,66.0,
hangman's house,66.0,
heimkehr,69.0,
high treason,60.0,
jûjiro,71.0,
a lady of chance,69.0,
the last command,80.0,
"laugh, clown, laugh",76.0,
lights of new york,57.0,
lilac time,61.0,
lonesome,78.0,
maldone,68.0,
the man who laughs,77.0,
the matinee idol,68.0,
the mating call,68.0,
mother machree,53.0,
moulin rouge,65.0,
the mysterious lady,72.0,
our dancing daughters,67.0,
la passion de jeanne d'arc,81.0,$ 21877
the patsy,75.0,
potomok chingis-khana,71.0,
the power of the press,64.0,
the racket,67.0,
the red dance,68.0,
riley the cop,60.0,
rose-marie,35.0,
sadie thompson,72.0,
shiraz,70.0,
show people,76.0,$ 1100000
the singing fool,62.0,$ 10900000
the smart set,62.0,
speedy,77.0,
spione,76.0,
"steamboat bill, jr.",79.0,
street angel,74.0,
submarine,61.0,
tempest,68.0,
that certain thing,60.0,
tire au flanc,65.0,
the trail of '98,69.0,
underground,73.0,
the viking,66.0,
the way of all flesh,65.0,$ 859900
weary river,61.0,
the wedding march,75.0,
west of zanzibar,72.0,
while the city sleeps,63.0,
white shadows in the south seas,69.0,
the wind,80.0,
a woman of affairs,72.0,
zhivoy trup,69.0,
zvenigora,71.0,
la aldea maldita,70.0,
alibi,58.0,
applause,70.0,
l'argent,76.0,
arsenal,73.0,
asphalt,74.0,
atlantic,55.0,
behind that curtain,49.0,
big news,54.0,
the black watch,56.0,
blackmail,70.0,
broadway,62.0,
broadway babies,64.0,
the broadway melody,57.0,
bulldog drummond,64.0,
the canary murder case,60.0,
le capitaine fracasse,67.0,
the cocoanuts,70.0,
condemned!,64.0,
coquette,58.0,
daigaku wa detakeredo,64.0,
the dance of life,65.0,
dangerous curves,59.0,
desert nights,65.0,
devil-may-care,61.0,
disraeli,62.0,
the divine lady,62.0,
the duke steps out,31.0,
dynamite,70.0,
erotikon,72.0,
eternal love,68.0,
evangeline,66.0,
flight,59.0,
the flying fleet,66.0,
the flying scotsman,60.0,
frau im mond,73.0,
fräulein else,69.0,
the girl in the show,52.0,
glorifying the american girl,58.0,
the godless girl,72.0,
gold diggers of broadway,67.0,$ 5537200
goluboy ekspress,64.0,
the great divide,52.0,
the great gabbo,61.0,
the greene murder case,66.0,
half marriage,58.0,
hallelujah,68.0,
hell's heroes,72.0,
her private affair,51.0,
high voltage,53.0,
the hole in the wall,58.0,
the hollywood revue of 1929,59.0,
seven footprints to satan,66.0,
"ich küsse ihre hand, madame",61.0,
the idle rich,59.0,
in old arizona,55.0,
the informer,70.0,
the iron mask,70.0,$ 3270000
it's a great life,61.0,
the kiss,69.0,
laila,73.0,
the last performance,67.0,
the last warning,67.0,
the last of mrs. cheyney,61.0,
the letter,67.0,
linda,68.0,
the locked door,60.0,
the love parade,71.0,
the love trap,65.0,
lucky star,78.0,
madame x,60.0,
the manxman,62.0,
marianne,62.0,
marianne,56.0,
menschen am sonntag,74.0,
mexicali rose,57.0,
monte cristo,70.0,
mutter krausens fahrt ins glück,73.0,
the mysterious dr. fu manchu,67.0,
the mysterious island,61.0,
navy blues,52.0,
new york nights,57.0,
noah's ark,65.0,
les nouveaux messieurs,68.0,
novyy vavilon,73.0,
oblomok imperii,73.0,
on with the show!,58.0,
our modern maidens,60.0,
the pagan,69.0,
piccadilly,71.0,
prapancha pash,65.0,
"prividenie, kotoroe ne vozvrashchaetsya",67.0,
queen kelly,71.0,
the racketeer,55.0,
redskin,68.0,
rio rita,61.0,
the river,72.0,
chasing rainbows,60.0,
rotaie,69.0,
sally,61.0,
salute,55.0,
the saturday night kid,60.0,
seven keys to baldpate,61.0,
the shakedown,63.0,
show boat,61.0,
show of shows,58.0,
the silent enemy,69.0,
the single standard,67.0,
so this is college,55.0,
der sonderling,50.0,
speedway,61.0,
spite marriage,70.0,
the squall,49.0,
staroye i novoye,73.0,
street girl,61.0,
the studio murder mystery,57.0,
sunny side up,65.0,$ 3000000
tagebuch einer verlorenen,79.0,
taming of the shrew,63.0,
tanned legs,56.0,
their own desire,59.0,
they had to see paris,58.0,
the thirteenth chair,59.0,
thunderbolt,66.0,
tide of empire,64.0,
tôkyô kôshinkyoku,66.0,
the trespasser,66.0,
the trial of mary dugan,61.0,
the unholy night,58.0,
untamed,51.0,
the vagabond lover,53.0,
the valiant,60.0,
"verdun, visions d'histoire",69.0,
the virginian,68.0,
gakusei romansu: wakaki hi,64.0,
die weiße hölle vom piz palü,72.0,
welcome danger,60.0,
where east is east,66.0,
why be good?,72.0,
wild orchids,66.0,
the wild party,64.0,
die wunderbare lüge der nina petrowna,72.0,
the younger generation,63.0,
abraham lincoln,57.0,
all quiet on the western front,80.0,
animal crackers,75.0,
anna christie,66.0,
anna christie,69.0,
au bonheur des dames,72.0,
back pay,51.0,
the bat whispers,64.0,
be yourself!,58.0,
beau ideal,54.0,
the benson murder case,62.0,
the big house,71.0,
the big pond,59.0,
the big trail,72.0,
billy the kid,60.0,
the bishop murder case,61.0,
der blaue engel,77.0,
borderline,62.0,
born reckless,54.0,
bright lights,56.0,
call of the flesh,56.0,
captain thunder,47.0,
charley's aunt,62.0,
check and double check,57.0,
children of pleasure,57.0,
city girl,78.0,
conspiracy,54.0,
a cottage on dartmoor,76.0,
the cuckoos,61.0,
danger lights,62.0,
david golder,70.0,
the dawn patrol,72.0,
the devil to pay!,65.0,
the devil's holiday,60.0,
the divorcee,68.0,
dixiana,53.0,
the doorway to hell,65.0,
doughboys,58.0,
die drei von der tankstelle,66.0,
elstree calling,53.0,
extravagance,59.0,
the fall guy,52.0,
fast and loose,62.0,
the menace,69.0,
feet first,67.0,
the flirting widow,65.0,
the florodora girl,61.0,
follow thru,65.0,
for the defense,65.0,
framed,61.0,
free and easy,56.0,
the girl said no,53.0,
going wild,60.0,
golden dawn,44.0,
good news,55.0,
the green goddess,54.0,
half shot at sunrise,61.0,
happy days,55.0,
hell harbor,55.0,
hell's angels,74.0,
her man,65.0,
hogaraka ni ayume,64.0,
holiday,64.0,
hook line and sinker,61.0,
inside the lines,54.0,
journey's end,67.0,
just imagine,54.0,
king of jazz,67.0,
ladies of leisure,67.0,
the lady of scandal,60.0,
a lady to love,66.0,
the lash,53.0,
laughter,65.0,
let us be gay,64.0,
let's go native,55.0,
the life of the party,56.0,
the light of western stars,46.0,
liliom,68.0,
little caesar,73.0,
loose ankles,61.0,
lord byron of broadway,53.0,
the pay-off,56.0,
the lottery bride,53.0,
love in the rough,55.0,
lovin' the ladies,62.0,
madam satan,65.0,
mammy,57.0,
manslaughter,62.0,
mary,61.0,
the matrimonial bed,57.0,
maybe it's love,51.0,
the medicine man,50.0,
men without women,58.0,
min and bill,68.0,
moby dick,57.0,
montana moon,47.0,
monte carlo,68.0,
morocco,71.0,
murder!,64.0,
new moon,61.0,
not so dumb,61.0,
a notorious affair,53.0,
the office wife,62.0,
one night at susie's,58.0,
one romantic night,58.0,
our blushing brides,61.0,
outside the law,60.0,
outward bound,67.0,
paid,62.0,
paramount on parade,59.0,
party girl,53.0,
passion flower,61.0,
la petite lise,72.0,
playing around,61.0,
prazdnik svyatogo yorgena,71.0,
prix de beauté (miss europe),69.0,
puttin' on the ritz,57.0,
one heavenly night,50.0,
raffles,65.0,$ 1000000
rain or shine,57.0,
rakudai wa shitakeredo,64.0,
reaching for the moon,56.0,
redemption,56.0,
remote control,58.0,
renegades,50.0,
the return of dr. fu manchu,67.0,
river's end,55.0,
road to paradise,57.0,
the rogue song,59.0,
le roman de renard,78.0,
romance,59.0,
the royal family of broadway,63.0,
runaway bride,52.0,
le sang d'un poète,74.0,
sarah and son,56.0,
the sea bat,55.0,
the ship from shanghai,51.0,
show girl in hollywood,64.0,
the silver horde,59.0,
the sin ship,55.0,
sin takes a holiday,62.0,
sinners' holiday,63.0,
the sins of the children,62.0,
so long letty,62.0,
son of the gods,60.0,
song o' my heart,53.0,
sono yo no tsuma,70.0,
soup to nuts,60.0,
sous les toits de paris,71.0,
spring is here,55.0,
street of chance,68.0,
sunny,53.0,
sweet kitty bellairs,51.0,
the texan,66.0,
they learned about women,55.0,
three faces east,59.0,
tom sawyer,64.0,$ 11000000
tonka sibenice,71.0,
top speed,61.0,
true to the navy,67.0,
the truth about youth,57.0,
the unholy three,68.0,
up the river,60.0,
the vagabond king,57.0,
the virtuous sin,55.0,
war nurse,61.0,
way out west,56.0,
way for a sailor,57.0,
westfront 1918: vier von der infanterie,74.0,
whoopee!,63.0,
wide open,60.0,
the widow from chicago,65.0,
young man of manhattan,61.0,
zemlya,73.0,
l'âge d'or,73.0,$ 32712
24 hours,60.0,
alam ara,63.0,
alexander hamilton,60.0,$ 987540
alice in wonderland,46.0,
ambassador bill,62.0,
an american tragedy,65.0,
are these our children,58.0,
arrowsmith,62.0,
bachelor apartment,62.0,
the bachelor father,65.0,
bad girl,65.0,
the bad sister,63.0,
beauty and the boss,69.0,
behind office doors,61.0,
berge in flammen,68.0,
berlin-alexanderplatz - die geschichte franz biberkopfs,67.0,
big business girl,59.0,
the big gamble,57.0,
the black camel,68.0,
blonde crazy,71.0,
bomben auf monte carlo,59.0,
born to love,58.0,
the brat,66.0,
broadminded,59.0,
los calaveras,64.0,
caught plastered,66.0,
the champ,73.0,
chances,64.0,
charlie chan carries on,67.0,
the cheat,64.0,
la chienne,76.0,
chinatown after dark,44.0,
cimarron,59.0,
city lights,85.0,$ 19181
city streets,71.0,
coeur de lilas,69.0,
the common law,60.0,
a connecticut yankee,65.0,
consolation marriage,61.0,
corsair,58.0,
cracked nuts,64.0,
the criminal code,70.0,
the cuban love song,56.0,
daddy long legs,59.0,
"dance, fools, dance",62.0,
just a gigolo,62.0,
daughter of the dragon,61.0,
daybreak,62.0,
delicious,59.0,
devotion,62.0,
dirigible,63.0,
don't bet on women,62.0,
dracula,75.0,
drácula,72.0,
die 3 groschen-oper,73.0,
the drums of jeopardy,57.0,
the easiest way,61.0,
east lynne,60.0,
east of borneo,57.0,
the heart of new york,60.0,
emil und die detektive,72.0,
everything's rosie,60.0,
expensive women,56.0,
the false madonna,64.0,
50 million frenchmen,52.0,
fighting caravans,57.0,
la fin du monde,61.0,
the finger points,59.0,
five star final,73.0,
five and ten,63.0,
flying high,58.0,
frankenstein,78.0,
a free soul,67.0,
friends and lovers,54.0,
the front page,67.0,$ 1526000
the galloping ghost,55.0,
the gay diplomat,51.0,
gentleman's fate,64.0,
girls about town,70.0,
god's gift to women,53.0,
it's tough to be famous,59.0,
the great lover,57.0,
the great meadow,62.0,
the guardsman,65.0,
the guilty generation,67.0,
guilty hands,69.0,
"her majesty, love",59.0,
his woman,59.0,
a holy terror,55.0,
honor among lovers,67.0,
the hot heiress,58.0,
a house divided,69.0,
hyppolit a lakáj,78.0,
i like your nerve,54.0,
i take this woman,61.0,
illicit,61.0,
indiscreet,62.0,
inspiration,63.0,
iron man,61.0,
kameradschaft,75.0,
kept husbands,59.0,
kiki,50.0,
kiss me again,55.0,
der kongreß tanzt,70.0,
ladies of the big house,60.0,
ladies' man,60.0,
the lady refuses,60.0,
shukujo to hige,64.0,
the last flight,68.0,
laugh and get rich,56.0,
laughing sinners,54.0,
the smiling lieutenant,72.0,
limite,73.0,
local boy makes good,62.0,
lonely wives,63.0,
m - eine stadt sucht einen mörder,83.0,$ 35566
the mad genius,64.0,
madamu to nyôbô,65.0,
the maltese falcon,69.0,
the man in possession,69.0,
man of the world,61.0,
manhattan parade,50.0,
"der mann, der seinen mörder sucht",65.0,
